@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
37,3,1,8,0,0,?
10,0,1,3,0,0,?
76,6,12,3,0,2,?
80,9,1,40,1,0,?
29,4,1,17,0,0,?
21,1,1,7,0,0,?
10,0,1,3,0,0,?
76,6,12,3,0,2,?
56,11,1,27,0,2,?
80,9,1,40,1,0,?
76,7,6,19,0,2,?
28,2,1,15,0,0,?
29,4,1,17,0,0,?
21,1,1,7,0,0,?
24,1,1,11,0,0,?
37,1,6,4,0,2,?
16,1,2,1,0,0,?
105,6,17,8,0,1,?
43,6,5,4,0,0,?
96,5,12,18,0,2,?
32,0,7,2,0,0,?
17,1,2,0,0,0,?
90,10,11,10,0,0,?
44,2,1,6,0,0,?
52,9,5,5,0,1,?
38,2,5,6,0,0,?
18,1,3,2,0,0,?
28,4,1,10,0,0,?
125,10,24,5,0,1,?
36,3,1,8,0,0,?
26,2,4,4,0,0,?
37,3,8,2,0,0,?
77,3,14,9,0,0,?
36,1,7,6,0,0,?
87,4,9,15,0,3,?
29,6,2,3,0,0,?
43,1,6,6,0,0,?
30,7,3,2,0,0,?
53,8,3,7,0,0,?
67,5,8,12,0,0,?
36,3,8,2,0,0,?
15,1,2,1,0,0,?
28,4,1,10,0,0,?
125,10,24,5,0,1,?
